Date,Confirmed cases,New cases,Total deaths,New deaths,Total recovery,Active cases
8/21/2021,186635,1064,2260,13,168320,16055
8/22/2021,187023,388,2268,8,168455,16300
8/23/2021,187588,565,2276,8,168818,16494
8/24/2021,188243,655,2281,5,169035,16927
8/25/2021,188880,637,2288,7,169382,17210
8/26/2021,189715,835,2298,10,169626,17791
8/27/2021,190333,618,2308,10,169815,18210
8/28/2021,190983,650,2361,53,178047,10575
8/29/2021,191345,362,2454,93,178283,10608
8/30/2021,191805,460,2455,1,178492,10858
8/31/2021,192431,626,2469,14,178759,11203
09/01/2021,193013,582,2480,11,179000,11533
09/02/2021,193644,631,2488,8,179294,11862
09/03/2021,194088,444,2495,7,179679,11914
09/04/2021,195052,964,2522,27,182463,10067
09/05/2021,195511,459,2552,30,184530,8429
09/06/2021,195890,379,2556,4,184882,8452
09/07/2021,196487,597,2573,17,185159,8755
09/08/2021,197046,559,2578,5,185379,9089
